Mod:Item:MetaData, Localized Name
minecraft:furnace, Печь
minecraft:lit_furnace, Печь
minecraft:ladder, Лестница
minecraft:rail, Рельсы
minecraft:stone_stairs, Ступеньки из булыжника
minecraft:lever, Рычаг
minecraft:stone_pressure_plate, Нажимная плита
minecraft:wooden_pressure_plate, Нажимная плита
minecraft:redstone_ore, Красная руда
minecraft:redstone_torch, Красный факел
minecraft:stone_button, Кнопка
minecraft:snow_layer:0, Снег
minecraft:ice, Лёд
minecraft:snow, Снег
minecraft:cactus, Кактус
minecraft:clay, Глина
minecraft:jukebox, Проигрыватель
minecraft:fence, Забор
minecraft:pumpkin, Тыква
minecraft:netherrack, Адский камень
minecraft:soul_sand, Песок душ
minecraft:glowstone, Светящийся камень
minecraft:portal, Портал
minecraft:lit_pumpkin, Светильник Джека
minecraft:stained_glass:0, Белое стекло
minecraft:stained_glass:1, Оранжевое стекло
minecraft:stained_glass:2, Пурпурное стекло
minecraft:stained_glass:3, Голубое стекло
minecraft:stained_glass:4, Жёлтое стекло
minecraft:stained_glass:5, Лаймовое стекло
minecraft:stained_glass:6, Розовое стекло
minecraft:stained_glass:7, Серое стекло
minecraft:stained_glass:8, Светло-серое стекло
minecraft:stained_glass:9, Бирюзовое стекло
minecraft:stained_glass:10, Фиолетовое стекло
minecraft:stained_glass:11, Синее стекло
minecraft:stained_glass:12, Коричневое стекло
minecraft:stained_glass:13, Зелёное стекло
minecraft:stained_glass:14, Красное стекло
minecraft:stained_glass:15, Чёрное стекло
minecraft:trapdoor, Люк
minecraft:monster_egg:0, Камень с монстрами
minecraft:monster_egg:1, Булыжник с монстрами
minecraft:monster_egg:2, Каменный кирпич с монстрами
minecraft:monster_egg:3, Замшелый каменный кирпич с монстрами
minecraft:monster_egg:4, Потрескавшийся каменный кирпич с монстрами
minecraft:monster_egg:5, Резной каменный кирпич с монстрами
minecraft:stonebrick:0, Каменные кирпичи
minecraft:stonebrick:1, Замшелые каменные кирпичи
minecraft:stonebrick:2, Потресканные каменные кирпичи
minecraft:stonebrick:3, Резные каменные кирпичи
minecraft:brown_mushroom_block, Гриб
minecraft:red_mushroom_block, Гриб
minecraft:iron_bars, Железные прутья
minecraft:glass_pane, Стеклянная панель
minecraft:melon_block, Арбуз
minecraft:vine, Лоза
minecraft:fence_gate, Калитка
minecraft:brick_stairs, Кирпичные ступеньки
minecraft:stone_brick_stairs, Ступеньки из каменного кирпича
minecraft:mycelium, Мицелий
minecraft:waterlily, Кувшинка
minecraft:nether_brick, Адские кирпичи
minecraft:nether_brick_fence, Адский забор
minecraft:nether_brick_stairs, Адские ступеньки
minecraft:enchanting_table, Стол зачарований
minecraft:end_portal, tile.null.name
minecraft:end_portal_frame, Портал в Энд
minecraft:end_stone, Эндерняк
minecraft:dragon_egg, Яйцо дракона
minecraft:redstone_lamp, Лампа
minecraft:wooden_slab:0, Дубовая плита
minecraft:wooden_slab:1, Еловая панель
minecraft:wooden_slab:2, Берёзовая плита
minecraft:wooden_slab:3, Плита из тропического дерева
minecraft:wooden_slab:4, Плита из акации
minecraft:wooden_slab:5, Плита из тёмного дуба
minecraft:cocoa, Какао
minecraft:sandstone_stairs, Ступеньки из песчаника
minecraft:emerald_ore, Изумрудная руда
minecraft:ender_chest, Сундук Эндера
minecraft:tripwire_hook, Крюк
minecraft:emerald_block, Изумрудный блок
minecraft:spruce_stairs, Еловые ступеньки
minecraft:birch_stairs, Березовые ступеньки
minecraft:jungle_stairs, Ступеньки из тропической древесины
minecraft:command_block, Командный блок
minecraft:beacon, Маяк
minecraft:cobblestone_wall:0, Каменная ограда
minecraft:cobblestone_wall:1, Ограда из замшелого булыжника
minecraft:carrots, Морковь
minecraft:potatoes, Картофель
minecraft:wooden_button, Кнопка
minecraft:anvil:0, Наковальня
minecraft:anvil:1, Повреждённая наковальня
minecraft:anvil:2, Сильно повреждённая наковальня
minecraft:trapped_chest, Сундук-ловушка
minecraft:light_weighted_pressure_plate, Утяжелённая нажимная пластина (Лёгкая)
minecraft:heavy_weighted_pressure_plate, Утяжелённая нажимная пластина (Тяжёлая)
minecraft:daylight_detector, Датчик дневного света
minecraft:redstone_block, Блок красного камня
minecraft:quartz_ore, Кварцевая руда
minecraft:hopper, Воронка
minecraft:quartz_block:0, Кварцевый блок
minecraft:quartz_block:1, Резной кварцевый блок
minecraft:quartz_block:2, Кварцевая колонна
minecraft:quartz_stairs, Кварцевые ступеньки
minecraft:activator_rail, Активирующие рельсы
minecraft:dropper, Выбрасыватель
minecraft:stained_hardened_clay:0, Белая обожжённая глина
minecraft:stained_hardened_clay:1, Оранжевая обожжённая глина
minecraft:stained_hardened_clay:2, Пурпурная обожжённая глина
minecraft:stained_hardened_clay:3, Голубая обожжённая глина
minecraft:stained_hardened_clay:4, Жёлтая обожжённая глина
minecraft:stained_hardened_clay:5, Лаймовая обожжённая глина
minecraft:stained_hardened_clay:6, Розовая обожжённая глина
minecraft:stained_hardened_clay:7, Серая обожжённая глина
minecraft:stained_hardened_clay:8, Светло-серая обожжённая глина
minecraft:stained_hardened_clay:9, Бирюзовая обожжённая глина
minecraft:stained_hardened_clay:10, Фиолетовая обожжённая глина
minecraft:stained_hardened_clay:11, Синяя обожжённая глина
minecraft:stained_hardened_clay:12, Коричневая обожжённая глина
minecraft:stained_hardened_clay:13, Зелёная обожжённая глина
minecraft:stained_hardened_clay:14, Красная обожжённая глина
minecraft:stained_hardened_clay:15, Чёрная обожжённая глина
minecraft:stained_glass_pane:0, Белая стеклянная панель
minecraft:stained_glass_pane:1, Оранжевая стеклянная панель
minecraft:stained_glass_pane:2, Пурпурная стеклянная панель
minecraft:stained_glass_pane:3, Голубая стеклянная панель
minecraft:stained_glass_pane:4, Жёлтая стеклянная панель
minecraft:stained_glass_pane:5, Лаймовая стеклянная панель
minecraft:stained_glass_pane:6, Розовая стеклянная панель
minecraft:stained_glass_pane:7, Серая стеклянная панель
minecraft:stained_glass_pane:8, Светло-серая стеклянная панель
minecraft:stained_glass_pane:9, Бирюзовая стеклянная панель
minecraft:stained_glass_pane:10, Фиолетовая стеклянная панель
minecraft:stained_glass_pane:11, Синяя стеклянная панель
minecraft:stained_glass_pane:12, Коричневая стеклянная панель
minecraft:stained_glass_pane:13, Зелёная стеклянная панель
minecraft:stained_glass_pane:14, Красная стеклянная панель
minecraft:stained_glass_pane:15, Чёрная стеклянная панель
minecraft:leaves2:0, Листья акации
minecraft:leaves2:1, Листья тёмного дуба
minecraft:log2:0, Древесина акации
minecraft:log2:1, Древесина тёмного дуба
minecraft:acacia_stairs, Ступеньки из древесины акации
minecraft:dark_oak_stairs, Ступеньки из тёмного дуба
IC2:blockOreCopper, ic2.blockOreCopper.name
IC2:blockOreTin, ic2.blockOreTin.name
IC2:blockOreUran, ic2.blockOreUran.name
IC2:blockOreLead, ic2.blockOreLead.name
IC2:blockRubWood, ic2.blockRubWood.name
minecraft:hay_block, Сноп сена
minecraft:carpet:0, Ковёр
minecraft:carpet:1, Оранжевый ковёр
minecraft:carpet:2, Пурпурный ковёр
minecraft:carpet:3, Голубой ковёр
minecraft:carpet:4, Жёлтый ковёр
minecraft:carpet:5, Лаймовый ковёр
minecraft:carpet:6, Розовый ковёр
minecraft:carpet:7, Серый ковёр
minecraft:carpet:8, Светло-серый ковёр
minecraft:carpet:9, Бирюзовый ковёр
minecraft:carpet:10, Фиолетовый ковёр
minecraft:carpet:11, Синий ковёр
minecraft:carpet:12, Коричневый ковёр
minecraft:carpet:13, Зелёный ковёр
minecraft:carpet:14, Красный ковёр
minecraft:carpet:15, Чёрный ковёр
minecraft:hardened_clay, Обожжёная глина
minecraft:coal_block, Угольный блок
minecraft:packed_ice, Плотный лёд
minecraft:double_plant:0, Подсолнух
minecraft:double_plant:1, Сирень
minecraft:double_plant:2, Двойная высокая трава
minecraft:double_plant:3, Раскидистый папоротник
minecraft:double_plant:4, Розовый куст
minecraft:double_plant:5, Пион
IC2:blockRubLeaves, ic2.blockRubLeaves.name
IC2:blockRubSapling, ic2.blockRubSapling.name
IC2:blockHarz, ic2.blockHarz.name
IC2:blockRubber, ic2.blockRubber.name
IC2:blockFenceIron, ic2.blockFenceIron.name
IC2:blockAlloy, ic2.blockAlloy.name
IC2:blockBasalt, ic2.blockBasalt.name
IC2:blockAlloyGlass, ic2.blockAlloyGlass.name
IC2:blockDoorAlloy, tile.blockDoorAlloy.name
IC2:blockReinforcedFoam, ic2.blockReinforcedFoam.name
IC2:blockFoam, ic2.blockFoam.name
IC2:blockWall, ic2.blockWall.name
IC2:blockScaffold, ic2.blockScaffold.name
IC2:blockIronScaffold, ic2.blockIronScaffold.name
IC2:blockMetal:0, ic2.blockMetalCopper
IC2:blockMetal:1, ic2.blockMetalTin
IC2:blockMetal:2, ic2.blockMetalBronze
IC2:blockMetal:3, ic2.blockMetalUranium
IC2:blockMetal:4, ic2.blockMetalLead
IC2:blockMetal:5, ic2.blockMetalAdvIron
IC2:blockCable, ic2.blockCable.name
IC2:blockKineticGenerator:0, ic2.blockWindKineticGenerator
IC2:blockKineticGenerator:1, ic2.blockSteamKineticGenerator
IC2:blockKineticGenerator:2, ic2.blockElectricKineticGenerator
IC2:blockKineticGenerator:3, ic2.blockManualKineticGenerator
IC2:blockKineticGenerator:4, ic2.blockWaterKineticGenerator
IC2:blockKineticGenerator:5, ic2.blockStirlingKineticGenerator
IC2:blockHeatGenerator:0, ic2.blockSolidHeatGenerator
IC2:blockHeatGenerator:1, ic2.blockFluidHeatGenerator
IC2:blockHeatGenerator:2, ic2.blockRTHeatGenerator
IC2:blockHeatGenerator:3, ic2.blockElectricHeatGenerator
IC2:blockGenerator:0, ic2.blockGenerator
IC2:blockGenerator:1, ic2.blockGeoGenerator
IC2:blockGenerator:2, ic2.blockWaterGenerator
IC2:blockGenerator:3, ic2.blockSolarGenerator
IC2:blockGenerator:4, ic2.blockWindGenerator
IC2:blockGenerator:5, ic2.blockNuclearReactor
IC2:blockGenerator:6, ic2.blockRTGenerator
IC2:blockGenerator:7, ic2.blockSemifluidGenerator
IC2:blockGenerator:8, ic2.blockStirlingGenerator
IC2:blockGenerator:9, ic2.blockKineticGenerator
IC2:blockReactorChamber, ic2.blockReactorChamber.name
IC2:blockReactorFluidPort, ic2.blockReactorFluidPort.name
IC2:blockReactorAccessHatch, ic2.blockReactorAccessHatch.name
IC2:blockReactorRedstonePort, ic2.blockReactorRedstonePort.name
IC2:blockreactorvessel, ic2.blockreactorvessel.name
IC2:blockElectric:3, ic2.blockTransformerLV
IC2:blockElectric:4, ic2.blockTransformerMV
IC2:blockElectric:5, ic2.blockTransformerHV
IC2:blockElectric:6, ic2.blockTransformerEV
IC2:blockElectric:0, ic2.blockBatBox
IC2:blockElectric:7, ic2.blockCESU
IC2:blockElectric:1, ic2.blockMFE
IC2:blockElectric:2, ic2.blockMFSU
IC2:blockElectric:0, ic2.blockBatBox
IC2:blockElectric:7, ic2.blockCESU
IC2:blockElectric:1, ic2.blockMFE
IC2:blockElectric:2, ic2.blockMFSU
IC2:blockChargepad:0, ic2.blockChargepadBatBox
IC2:blockChargepad:1, ic2.blockChargepadCESU
IC2:blockChargepad:2, ic2.blockChargepadMFE
IC2:blockChargepad:3, ic2.blockChargepadMFSU
IC2:blockChargepad:0, ic2.blockChargepadBatBox
IC2:blockChargepad:1, ic2.blockChargepadCESU
IC2:blockChargepad:2, ic2.blockChargepadMFE
IC2:blockChargepad:3, ic2.blockChargepadMFSU
IC2:blockMachine:0, ic2.blockMachine
IC2:blockMachine:1, ic2.blockIronFurnace
IC2:blockMachine:2, ic2.blockElecFurnace
IC2:blockMachine:3, ic2.blockMacerator
IC2:blockMachine:4, ic2.blockExtractor
IC2:blockMachine:5, ic2.blockCompressor
IC2:blockMachine:6, ic2.blockCanner
IC2:blockMachine:7, ic2.blockMiner
IC2:blockMachine:8, ic2.blockPump
IC2:blockMachine:9, ic2.blockMagnetizer
IC2:blockMachine:10, ic2.blockElectrolyzer
IC2:blockMachine:11, ic2.blockRecycler
IC2:blockMachine:12, ic2.blockAdvMachine
IC2:blockMachine:13, ic2.blockInduction
IC2:blockMachine:14, ic2.blockMatter
IC2:blockMachine:15, ic2.blockTerra
IC2:blockMachine2:0, ic2.blockTeleporter
IC2:blockMachine2:1, ic2.blockTesla
IC2:blockMachine2:2, ic2.blockCropmatron
IC2:blockMachine2:3, ic2.blockCentrifuge
IC2:blockMachine2:4, ic2.blockMetalFormer
IC2:blockMachine2:5, ic2.blockOreWashingPlant
IC2:blockMachine2:6, ic2.blockPatternStorage
IC2:blockMachine2:7, ic2.blockScanner
IC2:blockMachine2:8, ic2.blockReplicator
IC2:blockMachine2:9, ic2.blockSolidCanner
IC2:blockMachine2:10, ic2.blockFluidBottler
IC2:blockMachine2:11, ic2.blockAdvMiner
IC2:blockMachine2:12, ic2.blockLiquidHeatExchanger
IC2:blockMachine2:13, ic2.blockFermenter
IC2:blockMachine2:14, ic2.blockFluidRegulator
IC2:blockMachine2:15, ic2.blockCondenser
IC2:blockMachine3:0, ic2.blockSteamGenerator
IC2:blockMachine3:1, ic2.blockBlastFurnace
IC2:blockMachine3:2, ic2.blockBlockCutter
IC2:blockMachine3:3, ic2.blockSolarDestiller
IC2:blockMachine3:4, ic2.blockFluidDistributor
IC2:blockMachine3:5, ic2.blockSortingMachine
IC2:blockMachine3:6, ic2.blockItemBuffer
IC2:blockMachine3:7, ic2.blockCropHavester
IC2:blockMachine3:8, ic2.blockLathe
IC2:blockLuminatorDark, ic2.blockLuminatorDark.name
IC2:blockLuminator, ic2.blockLuminator.name
IC2:blockMiningPipe, ic2.blockMiningPipe.name
IC2:blockMiningTip, ic2.blockMiningTip.name
IC2:blockPersonal:0, ic2.blockPersonalChest
IC2:blockPersonal:1, ic2.blockPersonalTrader
IC2:blockPersonal:2, ic2.blockPersonalTraderEnergy
IC2:blockITNT, ic2.blockITNT.name
IC2:blockNuke, ic2.blockNuke.name
IC2:blockDynamite, ic2.blockDynamite.name
IC2:blockDynamiteRemote, ic2.blockDynamiteRemote.name
IC2:blockCrop, ic2.blockCrop.name
IC2:blockBarrel, ic2.blockBarrel.name
IC2:fluidUuMatter, ic2.fluidUuMatter.name
IC2:fluidConstructionFoam, ic2.fluidConstructionFoam.name
IC2:fluidCoolant, ic2.fluidCoolant.name
IC2:fluidHotCoolant, ic2.fluidHotCoolant.name
IC2:fluidPahoehoeLava, ic2.fluidPahoehoeLava.name
IC2:fluidBiomass, ic2.fluidBiomass.name
IC2:fluidBiogas, ic2.fluidBiogas.name
IC2:fluidDistilledWater, ic2.fluidDistilledWater.name
IC2:fluidSuperheatedSteam, ic2.fluidSuperheatedSteam.name
IC2:fluidSteam, ic2.fluidSteam.name
IC2:fluidHotWater, ic2.fluidHotWater.name
AdvancedMachines:blockAdvMachine:0, §6Роторный дробитель
AdvancedMachines:blockAdvMachine:1, §6Сингулярный компрессор
AdvancedMachines:blockAdvMachine:2, §6Центробежный экстрактор
AdvancedMachines:blockAdvMachine:3, §6Комбинированный утилизатор
AdvancedMachines:blockAdvMachine:4, §6Роторный рудопромывочный механизм
ThermalFoundation:Ore:0, Медная руда
ThermalFoundation:Ore:1, Оловянная руда
ThermalFoundation:Ore:2, Серебряная руда
ThermalFoundation:Ore:3, Свинцовая руда
ThermalFoundation:Ore:4, Никелевая руда
ThermalFoundation:Ore:5, Платиновая руда
ThermalFoundation:Ore:6, Мифриловая руда
ThermalFoundation:Storage:0, Медный блок
ThermalFoundation:Storage:1, Оловянный блок
ThermalFoundation:Storage:2, Серебряный блок
ThermalFoundation:Storage:3, Свинцовый блок
ThermalFoundation:Storage:4, Никелевый блок
ThermalFoundation:Storage:5, Платиновый блок
ThermalFoundation:Storage:6, Мифриловый блок
ThermalFoundation:Storage:7, Электрумовый блок
ThermalFoundation:Storage:8, Инваровый блок
ThermalFoundation:Storage:9, Бронзовый блок
ThermalFoundation:Storage:10, Синаловый блок
ThermalFoundation:Storage:11, Ламиумовый блок
ThermalFoundation:Storage:12, Блок эндериума
ThermalFoundation:FluidRedstone, Дестабилизированный красный камень
ThermalFoundation:FluidGlowstone, Заряженный светящийся камень
ThermalFoundation:FluidEnder, Резонирующий эндериум
ThermalFoundation:FluidPyrotheum, Пылающий пиротеум
ThermalFoundation:FluidCryotheum, Ледяной криотеум
ThermalFoundation:FluidAerotheum, Невесомый аэротеум
ThermalFoundation:FluidPetrotheum, Тектонический петротеум
ThermalFoundation:FluidMana, Изначальная мана
ThermalFoundation:FluidSteam, Пар
ThermalFoundation:FluidCoal, Разжиженный уголь
gregtech_addon:block:1, Катушка термоядерного реактора
gregtech_addon:block:2, Усиленный иридием камень
gregtech_addon:block:3, Серебряный блок
gregtech_addon:block:4, Рубиновый блок
gregtech_addon:block:5, Сапфировый блок
gregtech_addon:block:7, Block of Aluminium
gregtech_addon:block:8, Титановый блок
gregtech_addon:block:9, Хромовый блок
gregtech_addon:block:10, Усиленный улучшенный машинный блок
gregtech_addon:block:11, Блок стали
gregtech_addon:block:12, Блок латуни
gregtech_addon:block:13, Стандартный блок корпуса
gregtech_addon:block:14, Усиленный блок корпуса
gregtech_addon:block:15, Улучшенный блок корпуса
gregtech_addon:machine:4, Компьютерный блок GregTech
gregtech_addon:machine:6, Sonictron
gregtech_addon:machine:12, Сверхпроводящий провод
gregtech_addon:machine:16, Электрический верстак
gregtech_addon:machine:17, Электрический транслокатор
gregtech_addon:machine:18, Малый электричесий буфер
gregtech_addon:machine:19, Большой электрический буфер
gregtech_addon:machine:20, Улучшенный транслокатор
gregtech_addon:machine:21, Улучшенный буфер
gregtech_addon:machine:22, Электрический разрушитель блоков
gregtech_addon:machine:23, Электрический сортировщик
gregtech_addon:machine:24, Электрический очиститель
gregtech_addon:machine:25, Промышленный электролизёр
gregtech_addon:machine:26, Комбайн
gregtech_addon:machine:27, Распаковщик коробок утильсырья
gregtech_addon:machine:28, Промышленный размелчитель
gregtech_addon:machine:29, Промышленная доменная печь
gregtech_addon:machine:30, Квантовая цистерна
gregtech_addon:machine:31, Имплозивный компрессор
gregtech_addon:machine:32, Промышленная пилорама
gregtech_addon:machine:33, Дизельный генератор
gregtech_addon:machine:34, Газовая турбина
gregtech_addon:machine:35, Термальный генератор
gregtech_addon:machine:36, Генератор на тяжелых фракциях
gregtech_addon:machine:37, Плазменный генератор
gregtech_addon:machine:38, Вакумный морозильник
gregtech_addon:machine:39, Улучшенный регулятор
gregtech_addon:machine:40, Откачиватель энергии из яйца дракона
gregtech_addon:machine:41, Химический реактор
gregtech_addon:machine:42, Преобразователь магической энергии
gregtech_addon:machine:43, Поглотитель магической энергии
gregtech_addon:machine:44, Дистилляционная башня
gregtech_addon:machine:45, Улучшенный сейф
gregtech_addon:machine:46, Распределитель инвентаря
gregtech_addon:machine:47, Улучшенная помпа
gregtech_addon:machine:48, Цифровой сундук
gregtech_addon:machine:49, Квантовый сундук
gregtech_addon:machine:50, Автоматический масератор
gregtech_addon:machine:51, Автоматический экстрактор
gregtech_addon:machine:52, Автоматический компрессор
gregtech_addon:machine:53, Автоматический переработчик
gregtech_addon:machine:54, Автоматическая E-печка
gregtech_addon:machine:55, Автоматический волочильный станок
gregtech_addon:machine:56, Сплавная печь
gregtech_addon:machine:57, Автоматический наполнитель
gregtech_addon:machine:58, Электрический типовой сортировщик
gregtech_addon:machine:59, Прокатный станок
gregtech_addon:machine:60, Сборочный автомат
gregtech_addon:machine:61, Принтер
gregtech_addon:machine:62, Промышленная центрифуга
gregtech_addon:machine:63, Микроволновка
gregtech_addon:machine:64, Универсальный дробитель
gregtech_addon:machine:65, Редстоун лампа
gregtech_addon:machine:66, Редстоун музыкальный блок
gregtech_addon:machine:67, Кнопочная панель
gregtech_addon:machine:68, Индикатор силы сигнала
gregtech_addon:machine:69, Блок схем из красного камня
gregtech_addon:machine:70, Полка из дерева
gregtech_addon:machine:71, Полка из металла
gregtech_addon:machine:72, Картотека
gregtech_addon:machine:73, Стол из металла
gregtech_addon:machine:74, ячейка
gregtech_addon:machine:75, Цифровая цистерна
gregtech_addon:machine:76, Вендинговый аппарат
gregtech_addon:machine:77, Детектор игроков
gregtech_addon:machine:78, Блок схем из редстоуна
gregtech_addon:machine:79, Машинный механизм
gregtech_addon:machine:80, Консоль управления термоядерного реактора
gregtech_addon:machine:81, Инжектор энергии
gregtech_addon:machine:82, Инжектор материалов ядерного синтеза
gregtech_addon:machine:83, Экстрактор материалов ядерного синтеза
gregtech_addon:machine:84, Тессерактовый генератор
gregtech_addon:machine:85, Тесерактовый терминал
gregtech_addon:machine:86, Зарядный блок
gregtech_addon:machine:87, Батарейный блок
gregtech_addon:machine:88, Батарейный зарядник
gregtech_addon:machine:89, Большой зарядник
gregtech_addon:machine:90, Телепортер
gregtech_addon:machine:91, Вводной люк
gregtech_addon:machine:92, Выводной люк
gregtech_addon:machine:93, Люк обслуживания
gregtech_addon:machine:94, Люк вывода энергии
gregtech_addon:machine:95, Люк ввода энергии
gregtech_addon:machine:96, Люк для выбросов
gregtech_addon:machine:97, Входной порт
gregtech_addon:machine:98, Выводной порт
gregtech_addon:machine:100, AESU
gregtech_addon:machine:101, IDSU
gregtech_addon:machine:102, Молниеотвод
gregtech_addon:machine:103, Супертрансформатор
gregtech_addon:machine:104, Высоковольтный зарядник
gregtech_addon:machine:108, Большая газовая турбина
gregtech_addon:machine:109, Большая паровая турбина
gregtech_addon:machine:110, Тепловой бойлер
gregtech_addon:machine:111, Токарный станок
gregtech_addon:machine:112, Улучшенный верстак
gregtech_addon:machine:113, Резак по металлу
gregtech_addon:machine:114, Сканер
gregtech_addon:machine:115, Экструдер
gregtech_addon:machine:116, Улучшенный ретривер
gregtech_addon:machine:117, Large Plasma Turbine
gregtech_addon:machine:126, Электрический буфер
gregtech_addon:machine:127, Электрический фильтр
gregtech_addon:machine:128, Бронзовый верстак
gregtech_addon:machine:129, Небольшой бойлер на угле
gregtech_addon:machine:130, Бронзовый размелчитель
gregtech_addon:machine:131, Паровая печка
gregtech_addon:machine:132, Паровой Alloy Smelter
gregtech_addon:machine:133, Ковочный молоток на паровой тяге
gregtech_addon:machine:134, Паровой компрессор
gregtech_addon:machine:135, Выдавливающий экстрактор
gregtech_addon:machine:136, Бронзовая доменная печь
gregtech_addon:machine:137, Угольный бойлер высокого давления
gregtech_addon:machine:138, Паровая печь высокого давления
gregtech_addon:machine:1750, Каркас из железа
gregtech_addon:machine:1751, Каркас из алюминия
gregtech_addon:machine:1752, Каркас из стали
gregtech_addon:machine:1753, Каркас из закалённой стали
gregtech_addon:machine:1754, Каркас из вольфрамовой стали
gregtech_addon:machine:1800, Жидкостная труба из бронзы
gregtech_addon:machine:1801, Жидкостная труба из стали
gregtech_addon:machine:1802, Жидкостная труба из закалённой стали
gregtech_addon:machine:1803, Жидкостная труба из вольфрамовой стали
gregtech_addon:machine:1825, Небольшая  жидкостная труба из бронзы
gregtech_addon:machine:1826, Небольшая жидкостная труба из стали
gregtech_addon:machine:1827, Небольшая жидкостная труба из закалённой стали
gregtech_addon:machine:1828, Небольшая жидкостная труба из вольфрамовой стали
gregtech_addon:machine:1850, Большая жидкостная труба из бронзы
gregtech_addon:machine:1851, Большая жидкостная труба из стали
gregtech_addon:machine:1852, Большая жидкостная труба из закалённой стали
gregtech_addon:machine:1853, Большая жидкостная труба из вольфрамовой стали
gregtech_addon:machine:1900, Труба для предметов из латуни
gregtech_addon:machine:1901, труба для предметов из электрума
gregtech_addon:machine:1902, metatileentity.GT_Pipe_Platinum.name
gregtech_addon:machine:1950, Большая труба для предметов из латуни
gregtech_addon:machine:1951, Большая труба для предметов из электрума
gregtech_addon:machine:1952, Большая труба для предметов из платины
gregtech_addon:ore:1, Галенит
gregtech_addon:ore:2, Руда иридия
gregtech_addon:ore:3, Руда рубинов
gregtech_addon:ore:4, Руда сапфиров
gregtech_addon:ore:5, Боксит
gregtech_addon:ore:6, Пирит
gregtech_addon:ore:7, Киноварь
